attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
fuzzers,2224,QUBOCorrelation,TabuSampler,33,cuda:2,3.91,10.43,0.1123,1999.73,0.98879,0.99145,0.89446,0.81277,0.9944
fuzzers,2245,QUBOMutualInformation,SimulatedAnnealing,11,cuda:2,3.77,9.96,0.1112,1784.44,0.98869,0.99125,0.89355,0.81148,0.99409
fuzzers,2256,QUBOMutualInformation,SimulatedAnnealing,22,cuda:2,3.82,10.18,0.1112,1870.98,0.98872,0.99038,0.89362,0.81285,0.99222
fuzzers,2267,QUBOMutualInformation,SimulatedAnnealing,33,cuda:2,3.86,10.37,0.1138,1942.65,0.98872,0.99068,0.89368,0.81253,0.99284
fuzzers,2288,QUBOMutualInformation,SteepestDescent,11,cuda:2,3.76,9.95,0.1119,1784.44,0.98872,0.99156,0.89386,0.81158,0.99471
fuzzers,2299,QUBOMutualInformation,SteepestDescent,22,cuda:2,3.8,10.19,0.1124,1870.98,0.98875,0.9904,0.89387,0.81327,0.99222
fuzzers,2310,QUBOMutualInformation,SteepestDescent,33,cuda:2,3.89,10.37,0.1132,1942.65,0.9887,0.99141,0.89371,0.81153,0.9944
fuzzers,2331,QUBOMutualInformation,TabuSampler,11,cuda:2,3.88,10.43,0.1151,1999.73,0.98879,0.99131,0.89443,0.81293,0.99409
fuzzers,2342,QUBOMutualInformation,TabuSampler,22,cuda:2,3.86,10.43,0.1125,1999.73,0.98878,0.991,0.89424,0.81304,0.99346
fuzzers,2353,QUBOMutualInformation,TabuSampler,33,cuda:2,3.91,10.44,0.1122,1999.73,0.98878,0.9913,0.8943,0.81272,0.99409
fuzzers,2374,QUBOSVCBoosting,SimulatedAnnealing,11,cuda:2,3.72,9.92,0.113,1734.3,0.98854,0.99162,0.89239,0.80896,0.99502
fuzzers,2385,QUBOSVCBoosting,SimulatedAnnealing,22,cuda:2,3.76,10.01,0.11,1791.43,0.98867,0.9911,0.8934,0.81144,0.99378
fuzzers,2396,QUBOSVCBoosting,SimulatedAnnealing,33,cuda:2,3.8,10.07,0.1113,1840.84,0.9887,0.99067,0.89356,0.81232,0.99284
fuzzers,2417,QUBOSVCBoosting,SteepestDescent,11,cuda:2,3.74,9.95,0.1115,1734.3,0.98869,0.9911,0.89352,0.81164,0.99378
fuzzers,2428,QUBOSVCBoosting,SteepestDescent,22,cuda:2,3.74,10.0,0.1101,1791.43,0.98857,0.9903,0.89237,0.81078,0.99222
fuzzers,2439,QUBOSVCBoosting,SteepestDescent,33,cuda:2,3.81,10.06,0.1121,1840.84,0.98858,0.99075,0.89259,0.81052,0.99315
fuzzers,2460,QUBOSVCBoosting,TabuSampler,11,cuda:2,3.74,9.95,0.1108,1762.65,0.9887,0.99185,0.8938,0.81106,0.99533
fuzzers,2471,QUBOSVCBoosting,TabuSampler,22,cuda:2,3.79,10.11,0.1109,1833.61,0.98873,0.99187,0.89405,0.81147,0.99533
fuzzers,2482,QUBOSVCBoosting,TabuSampler,33,cuda:2,3.86,9.92,0.1125,1913.07,0.98872,0.98949,0.89344,0.81381,0.99035
exploits,1191,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,7.32,18.38,0.1932,3118.95,0.99527,0.98228,0.95101,0.93467,0.96794
exploits,1204,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,7.45,18.72,0.1964,3287.76,0.99599,0.98585,0.9584,0.94269,0.97465
exploits,1217,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,7.71,18.97,0.1981,3456.59,0.99618,0.98109,0.9599,0.95543,0.96441
exploits,1242,QUBOCorrelation,SteepestDescent,13,cuda:2,7.44,18.37,0.1939,3118.95,0.99522,0.98298,0.95062,0.9325,0.96945
exploits,1255,QUBOCorrelation,SteepestDescent,26,cuda:2,7.43,18.72,0.197,3287.76,0.99599,0.98577,0.9584,0.94283,0.97448
exploits,1268,QUBOCorrelation,SteepestDescent,39,cuda:2,7.72,18.91,0.1964,3456.59,0.99598,0.98625,0.95836,0.94182,0.97549
exploits,1293,QUBOCorrelation,TabuSampler,13,cuda:2,7.55,19.29,0.1988,3378.6,0.99574,0.98708,0.95608,0.93557,0.97751
