attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory_gpu_0,peak_memory_gpu_1,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
dos,1142,QUBOSVCBoosting,TabuSampler,12,"cuda:0,1",0,0.51,1.3789,1504.94,888.94,0.99574,0.98398,0.95593,0.94132,0.971
dos,1154,QUBOSVCBoosting,TabuSampler,24,"cuda:0,1",0,0.61,1.3949,1542.94,892.94,0.99736,0.98324,0.97213,0.97667,0.96763
dos,1166,QUBOSVCBoosting,TabuSampler,36,"cuda:0,1",0,0.65,1.7195,1580.94,898.94,0.99836,0.98995,0.98273,0.9848,0.98066
fuzzers,2116,QUBOCorrelation,SimulatedAnnealing,11,"cuda:0,1",0,0.64,0.5474,1278.94,640.94,0.98892,0.99329,0.89558,0.81214,0.99813
fuzzers,2127,QUBOCorrelation,SimulatedAnnealing,22,"cuda:0,1",0,0.69,1.384,1608.94,898.94,0.98923,0.99346,0.89822,0.81649,0.99813
fuzzers,2138,QUBOCorrelation,SimulatedAnnealing,33,"cuda:0,1",0,0.72,1.5062,1662.94,904.94,0.98923,0.99346,0.89822,0.81649,0.99813
fuzzers,2159,QUBOCorrelation,SteepestDescent,11,"cuda:0,1",0,0.64,1.3707,1548.94,890.94,0.98893,0.9933,0.8957,0.81234,0.99813
fuzzers,2170,QUBOCorrelation,SteepestDescent,22,"cuda:0,1",0,0.68,1.3832,1608.94,898.94,0.98893,0.9933,0.8957,0.81234,0.99813
fuzzers,2181,QUBOCorrelation,SteepestDescent,33,"cuda:0,1",0,0.68,1.5166,1696.94,910.94,0.98921,0.99345,0.89809,0.81628,0.99813
fuzzers,2202,QUBOCorrelation,TabuSampler,11,"cuda:0,1",0,0.67,1.6864,1656.94,900.94,0.98929,0.99363,0.89875,0.81716,0.99844
fuzzers,2213,QUBOCorrelation,TabuSampler,22,"cuda:0,1",0,0.69,1.5436,1686.94,1208.94,0.98929,0.99363,0.89875,0.81716,0.99844
fuzzers,2224,QUBOCorrelation,TabuSampler,33,"cuda:0,1",0,0.69,1.566,1774.94,912.94,0.98926,0.99362,0.8985,0.81674,0.99844
fuzzers,2245,QUBOMutualInformation,SimulatedAnnealing,11,"cuda:0,1",0,0.71,1.4485,1700.94,894.94,0.98903,0.99232,0.89638,0.81491,0.99594
fuzzers,2256,QUBOMutualInformation,SimulatedAnnealing,22,"cuda:0,1",0,0.72,1.488,1730.94,900.94,0.9895,0.99137,0.90007,0.82274,0.99345
fuzzers,2267,QUBOMutualInformation,SimulatedAnnealing,33,"cuda:0,1",0,0.75,1.5815,1756.94,906.94,0.98941,0.99325,0.89968,0.81932,0.9975
fuzzers,2288,QUBOMutualInformation,SteepestDescent,11,"cuda:0,1",0,0.73,1.8659,1610.94,894.94,0.98903,0.99232,0.89638,0.81491,0.99594
fuzzers,2299,QUBOMutualInformation,SteepestDescent,22,"cuda:0,1",0,0.69,1.4778,1594.94,904.94,0.9895,0.99137,0.90007,0.82274,0.99345
fuzzers,2310,QUBOMutualInformation,SteepestDescent,33,"cuda:0,1",0,0.7,1.5799,1636.94,906.94,0.98938,0.99324,0.89942,0.8189,0.9975
fuzzers,2331,QUBOMutualInformation,TabuSampler,11,"cuda:0,1",0,0.74,1.5524,1664.94,912.94,0.98926,0.99362,0.8985,0.81674,0.99844
fuzzers,2342,QUBOMutualInformation,TabuSampler,22,"cuda:0,1",0,0.7,1.5418,1698.94,912.94,0.98926,0.99362,0.8985,0.81674,0.99844
fuzzers,2353,QUBOMutualInformation,TabuSampler,33,"cuda:0,1",0,0.75,1.559,1734.94,912.94,0.98926,0.99362,0.8985,0.81674,0.99844
fuzzers,2374,QUBOSVCBoosting,SimulatedAnnealing,11,"cuda:0,1",0,0.66,1.4951,1594.94,888.94,0.9875,0.99107,0.8835,0.79447,0.99501
fuzzers,2385,QUBOSVCBoosting,SimulatedAnnealing,22,"cuda:0,1",0,0.61,1.6546,1598.94,892.94,0.98887,0.99327,0.8952,0.81152,0.99813
fuzzers,2396,QUBOSVCBoosting,SimulatedAnnealing,33,"cuda:0,1",0,0.69,1.3679,1606.94,896.94,0.98918,0.99343,0.89784,0.81586,0.99813
fuzzers,2417,QUBOSVCBoosting,SteepestDescent,11,"cuda:0,1",0,0.62,1.3842,1594.94,886.94,0.98584,0.99123,0.87025,0.77198,0.99719
fuzzers,2428,QUBOSVCBoosting,SteepestDescent,22,"cuda:0,1",0,0.61,1.5009,1606.94,892.94,0.98887,0.99327,0.8952,0.81152,0.99813
fuzzers,2439,QUBOSVCBoosting,SteepestDescent,33,"cuda:0,1",0,0.69,1.4119,1638.94,896.94,0.98917,0.99342,0.89771,0.81566,0.99813
fuzzers,2460,QUBOSVCBoosting,TabuSampler,11,"cuda:0,1",0,0.59,0.7223,1374.94,666.94,0.98874,0.99142,0.89372,0.81156,0.99438
fuzzers,2471,QUBOSVCBoosting,TabuSampler,22,"cuda:0,1",0,0.68,1.3674,1608.94,896.94,0.98886,0.99311,0.89505,0.81147,0.99782
fuzzers,2482,QUBOSVCBoosting,TabuSampler,33,"cuda:0,1",0,0.71,1.7636,1664.94,904.94,0.9893,0.99364,0.89888,0.81737,0.99844
exploits,1191,QUBOCorrelation,SimulatedAnnealing,13,"cuda:0,1",0,0.88,0.704,1422.94,682.94,0.99456,0.97489,0.94351,0.93407,0.95314
exploits,1204,QUBOCorrelation,SimulatedAnnealing,26,"cuda:0,1",0,1.0,1.4234,1766.94,918.94,0.99583,0.98318,0.95679,0.9447,0.96921
exploits,1217,QUBOCorrelation,SimulatedAnnealing,39,"cuda:0,1",0,1.03,1.5347,1832.94,944.94,0.99669,0.97918,0.96508,0.97039,0.95983
exploits,1242,QUBOCorrelation,SteepestDescent,13,"cuda:0,1",0,0.86,1.5252,1706.94,902.94,0.99505,0.98293,0.94913,0.92956,0.96954
exploits,1255,QUBOCorrelation,SteepestDescent,26,"cuda:0,1",0,0.97,1.5335,1772.94,1218.94,0.99583,0.98318,0.95679,0.9447,0.96921
exploits,1268,QUBOCorrelation,SteepestDescent,39,"cuda:0,1",0,0.95,1.5455,2148.94,934.94,0.99641,0.98054,0.96229,0.96156,0.96301
exploits,1293,QUBOCorrelation,TabuSampler,13,"cuda:0,1",0,0.94,1.4272,2136.94,926.94,0.99614,0.97897,0.95952,0.95904,0.96
exploits,1306,QUBOCorrelation,TabuSampler,26,"cuda:0,1",0,1.01,1.5535,2154.94,940.94,0.99783,0.98948,0.97731,0.97438,0.98025
exploits,1319,QUBOCorrelation,TabuSampler,39,"cuda:0,1",0,1.04,1.5837,1892.94,1250.94,0.99844,0.99322,0.98366,0.9799,0.98745
exploits,1344,QUBOMutualInformation,SimulatedAnnealing,13,"cuda:0,1",0,0.94,1.4925,1690.94,904.94,0.99733,0.985,0.97195,0.97252,0.97138
exploits,1357,QUBOMutualInformation,SimulatedAnnealing,26,"cuda:0,1",0,0.97,1.4623,1776.94,920.94,0.9985,0.99357,0.98433,0.98057,0.98812
exploits,1370,QUBOMutualInformation,SimulatedAnnealing,39,"cuda:0,1",0,1.0,1.6106,1860.94,1238.94,0.99849,0.99348,0.98416,0.9804,0.98795
exploits,1395,QUBOMutualInformation,SteepestDescent,13,"cuda:0,1",0,0.98,1.6085,1696.94,904.94,0.99733,0.985,0.97195,0.97252,0.97138
exploits,1408,QUBOMutualInformation,SteepestDescent,26,"cuda:0,1",0,0.96,1.6154,1786.94,936.94,0.9985,0.99357,0.98433,0.98057,0.98812
exploits,1421,QUBOMutualInformation,SteepestDescent,39,"cuda:0,1",0,0.98,1.9219,2166.94,938.94,0.99845,0.99315,0.98382,0.98039,0.98728
exploits,1446,QUBOMutualInformation,TabuSampler,13,"cuda:0,1",0,1.04,1.6063,2272.94,950.94,0.99844,0.99322,0.98366,0.9799,0.98745
exploits,1459,QUBOMutualInformation,TabuSampler,26,"cuda:0,1",0,1.04,1.4957,1972.94,1250.94,0.99844,0.99322,0.98366,0.9799,0.98745
exploits,1472,QUBOMutualInformation,TabuSampler,39,"cuda:0,1",0,1.04,1.5978,1984.94,950.94,0.99844,0.99322,0.98366,0.9799,0.98745
exploits,1497,QUBOSVCBoosting,SimulatedAnnealing,13,"cuda:0,1",0,1.0,1.3978,1734.94,896.94,0.99635,0.97503,0.96128,0.9713,0.95146
exploits,1510,QUBOSVCBoosting,SimulatedAnnealing,26,"cuda:0,1",0,0.88,1.385,1786.94,906.94,0.99662,0.98574,0.96484,0.95612,0.97372
exploits,1523,QUBOSVCBoosting,SimulatedAnnealing,39,"cuda:0,1",0,0.96,1.4153,1838.94,918.94,0.99819,0.99142,0.98106,0.9782,0.98393
exploits,1548,QUBOSVCBoosting,SteepestDescent,13,"cuda:0,1",0,0.79,0.6799,1512.94,648.94,0.99109,0.94373,0.90501,0.91907,0.89138
exploits,1561,QUBOSVCBoosting,SteepestDescent,26,"cuda:0,1",0,0.89,1.2626,1646.94,756.94,0.99129,0.96379,0.91075,0.88919,0.93339
exploits,1574,QUBOSVCBoosting,SteepestDescent,39,"cuda:0,1",0,0.99,1.4072,1858.94,918.94,0.9974,0.98512,0.97269,0.97383,0.97155
exploits,1599,QUBOSVCBoosting,TabuSampler,13,"cuda:0,1",0,0.85,1.3837,1774.94,900.94,0.99497,0.97931,0.94797,0.93433,0.96201
exploits,1612,QUBOSVCBoosting,TabuSampler,26,"cuda:0,1",0,0.96,1.4283,1856.94,922.94,0.99704,0.98573,0.96909,0.96499,0.97322
exploits,1625,QUBOSVCBoosting,TabuSampler,39,"cuda:0,1",0,1.06,1.584,2316.94,932.94,0.99801,0.99061,0.97915,0.97589,0.98243
generic,2505,QUBOCorrelation,SimulatedAnnealing,13,"cuda:0,1",0,1.91,1.3966,2156.94,966.94,0.9994,0.99682,0.99671,0.99976,0.99367
generic,2518,QUBOCorrelation,SimulatedAnnealing,26,"cuda:0,1",0,2.47,1.4796,2548.94,1338.94,0.99963,0.99811,0.99794,0.99961,0.99627
generic,2531,QUBOCorrelation,SimulatedAnnealing,39,"cuda:0,1",0,2.63,1.548,2776.94,1396.94,0.99955,0.99775,0.99753,0.99952,0.99555
