attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
dos,1154,QUBOSVCBoosting,TabuSampler,24,2×GPU,0,40.1,23.115,0.99766,0.98599,0.97535,0.97762,0.9731
dos,1166,QUBOSVCBoosting,TabuSampler,36,2×GPU,0,46.37,23.0031,0.9985,0.99123,0.98422,0.98526,0.98319
fuzzers,2116,QUBOCorrelation,SimulatedAnnealing,11,2×GPU,0,38.1,30.2438,0.9889,0.99314,0.89542,0.81209,0.99782
fuzzers,2127,QUBOCorrelation,SimulatedAnnealing,22,2×GPU,0,43.89,30.2437,0.9893,0.99009,0.89819,0.82131,0.99095
fuzzers,2138,QUBOCorrelation,SimulatedAnnealing,33,2×GPU,0,46.68,30.2598,0.98935,0.98966,0.89849,0.82245,0.99002
fuzzers,2159,QUBOCorrelation,SteepestDescent,11,2×GPU,0,38.42,31.1552,0.98892,0.99314,0.89555,0.81229,0.99782
fuzzers,2170,QUBOCorrelation,SteepestDescent,22,2×GPU,0,44.05,30.4115,0.98896,0.9908,0.89546,0.81548,0.99282
fuzzers,2181,QUBOCorrelation,SteepestDescent,33,2×GPU,0,46.58,30.366,0.98924,0.98768,0.89722,0.82313,0.98596
fuzzers,2202,QUBOCorrelation,TabuSampler,11,2×GPU,0,45.55,30.3754,0.98947,0.99299,0.90013,0.82049,0.99688
fuzzers,2213,QUBOCorrelation,TabuSampler,22,2×GPU,0,48.38,30.8319,0.98947,0.98721,0.89902,0.82704,0.98471
fuzzers,2224,QUBOCorrelation,TabuSampler,33,2×GPU,0,49.25,30.4112,0.98979,0.98738,0.90184,0.83184,0.98471
fuzzers,2245,QUBOMutualInformation,SimulatedAnnealing,11,2×GPU,0,41.14,30.5395,0.98932,0.98446,0.89721,0.82797,0.9791
fuzzers,2256,QUBOMutualInformation,SimulatedAnnealing,22,2×GPU,0,44.25,30.4669,0.98978,0.98515,0.90129,0.83426,0.98003
fuzzers,2267,QUBOMutualInformation,SimulatedAnnealing,33,2×GPU,0,46.51,30.289,0.98973,0.98631,0.90113,0.83219,0.98253
fuzzers,2288,QUBOMutualInformation,SteepestDescent,11,2×GPU,0,41.13,30.812,0.98932,0.98446,0.89721,0.82797,0.9791
fuzzers,2299,QUBOMutualInformation,SteepestDescent,22,2×GPU,0,44.34,30.4288,0.98978,0.98515,0.90129,0.83426,0.98003
fuzzers,2310,QUBOMutualInformation,SteepestDescent,33,2×GPU,0,46.58,30.357,0.98966,0.98598,0.90043,0.83144,0.9819
fuzzers,2331,QUBOMutualInformation,TabuSampler,11,2×GPU,0,49.22,30.6434,0.98979,0.98738,0.90184,0.83184,0.98471
fuzzers,2342,QUBOMutualInformation,TabuSampler,22,2×GPU,0,49.36,30.2673,0.98979,0.98738,0.90184,0.83184,0.98471
fuzzers,2353,QUBOMutualInformation,TabuSampler,33,2×GPU,0,49.27,30.4977,0.98979,0.98738,0.90184,0.83184,0.98471
fuzzers,2374,QUBOSVCBoosting,SimulatedAnnealing,11,2×GPU,0,44.88,30.2189,0.98847,0.98387,0.88993,0.81586,0.97878
fuzzers,2385,QUBOSVCBoosting,SimulatedAnnealing,22,2×GPU,0,41.8,30.3596,0.9888,0.99219,0.89437,0.81159,0.99594
fuzzers,2396,QUBOSVCBoosting,SimulatedAnnealing,33,2×GPU,0,44.21,30.465,0.98936,0.98656,0.89801,0.82621,0.98346
fuzzers,2417,QUBOSVCBoosting,SteepestDescent,11,2×GPU,0,38.18,30.0608,0.98883,0.9928,0.89474,0.81137,0.99719
fuzzers,2428,QUBOSVCBoosting,SteepestDescent,22,2×GPU,0,41.84,30.2243,0.98865,0.99137,0.89297,0.81032,0.99438
