attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
reconnaissance,3037,QUBOCorrelation,SteepestDescent,33,Tesla V100-PCIE-32GB,0,1.24,0.1321,0.99756,0.99323,0.9747,0.96133,0.98846
reconnaissance,3059,QUBOCorrelation,TabuSampler,11,Tesla V100-PCIE-32GB,0,1.22,0.128,0.99752,0.99301,0.97428,0.96091,0.98803
reconnaissance,3070,QUBOCorrelation,TabuSampler,22,Tesla V100-PCIE-32GB,0,1.23,0.1361,0.99776,0.99111,0.97666,0.96966,0.98375
reconnaissance,3081,QUBOCorrelation,TabuSampler,33,Tesla V100-PCIE-32GB,0,1.26,0.1402,0.99955,0.99733,0.9953,0.99572,0.99487
reconnaissance,3103,QUBOMutualInformation,SimulatedAnnealing,11,Tesla V100-PCIE-32GB,0,1.17,0.1273,0.99912,0.99467,0.9908,0.99186,0.98974
reconnaissance,3114,QUBOMutualInformation,SimulatedAnnealing,22,Tesla V100-PCIE-32GB,0,1.19,0.1349,0.99939,0.99623,0.99358,0.99443,0.99273
reconnaissance,3125,QUBOMutualInformation,SimulatedAnnealing,33,Tesla V100-PCIE-32GB,0,1.24,0.1375,0.99959,0.99735,0.99572,0.99657,0.99487
reconnaissance,3147,QUBOMutualInformation,SteepestDescent,11,Tesla V100-PCIE-32GB,0,1.16,0.1279,0.99912,0.99467,0.9908,0.99186,0.98974
reconnaissance,3158,QUBOMutualInformation,SteepestDescent,22,Tesla V100-PCIE-32GB,0,1.24,0.1336,0.99947,0.99668,0.99444,0.99529,0.99359
reconnaissance,3169,QUBOMutualInformation,SteepestDescent,33,Tesla V100-PCIE-32GB,0,1.25,0.1427,0.99959,0.99735,0.99572,0.99657,0.99487
reconnaissance,3191,QUBOMutualInformation,TabuSampler,11,Tesla V100-PCIE-32GB,0,1.22,0.1422,0.99955,0.99733,0.9953,0.99572,0.99487
reconnaissance,3202,QUBOMutualInformation,TabuSampler,22,Tesla V100-PCIE-32GB,0,1.25,0.1445,0.99955,0.99753,0.9953,0.9953,0.9953
reconnaissance,3213,QUBOMutualInformation,TabuSampler,33,Tesla V100-PCIE-32GB,0,1.26,0.1398,0.99955,0.99753,0.9953,0.9953,0.9953
reconnaissance,3235,QUBOSVCBoosting,SimulatedAnnealing,11,Tesla V100-PCIE-32GB,0,1.16,0.1165,0.99855,0.99091,0.98479,0.98711,0.98247
reconnaissance,3246,QUBOSVCBoosting,SimulatedAnnealing,22,Tesla V100-PCIE-32GB,0,1.18,0.133,0.99259,0.97174,0.9242,0.90093,0.9487
reconnaissance,3257,QUBOSVCBoosting,SimulatedAnnealing,33,Tesla V100-PCIE-32GB,0,1.2,0.1392,0.99945,0.99646,0.99422,0.99529,0.99316
reconnaissance,3279,QUBOSVCBoosting,SteepestDescent,11,Tesla V100-PCIE-32GB,0,1.14,0.1222,0.98831,0.99204,0.89033,0.80484,0.99615
reconnaissance,3290,QUBOSVCBoosting,SteepestDescent,22,Tesla V100-PCIE-32GB,0,1.14,0.1186,0.98866,0.99222,0.89323,0.80959,0.99615
reconnaissance,3301,QUBOSVCBoosting,SteepestDescent,33,Tesla V100-PCIE-32GB,0,1.24,0.1277,0.9979,0.98935,0.97802,0.97615,0.97991
reconnaissance,3323,QUBOSVCBoosting,TabuSampler,11,Tesla V100-PCIE-32GB,0,1.14,0.126,0.99575,0.98071,0.95571,0.94748,0.96409
reconnaissance,3334,QUBOSVCBoosting,TabuSampler,22,Tesla V100-PCIE-32GB,0,1.18,0.1334,0.9968,0.98634,0.96672,0.95879,0.97478
reconnaissance,3345,QUBOSVCBoosting,TabuSampler,33,Tesla V100-PCIE-32GB,0,1.23,0.5593,0.99945,0.99687,0.99423,0.99444,0.99401
analysis,9,QUBOCorrelation,SimulatedAnnealing,10,Tesla V100-PCIE-32GB,0,1.12,0.1071,0.99864,0.99815,0.98585,0.97436,0.99761
analysis,20,QUBOCorrelation,SimulatedAnnealing,21,Tesla V100-PCIE-32GB,0,1.13,0.1138,0.99784,0.98866,0.97735,0.97619,0.97852
analysis,30,QUBOCorrelation,SimulatedAnnealing,31,Tesla V100-PCIE-32GB,0,1.13,0.1132,0.9983,0.99344,0.98221,0.97642,0.98807
analysis,50,QUBOCorrelation,SteepestDescent,10,Tesla V100-PCIE-32GB,0,1.13,0.1103,0.99864,0.99815,0.98585,0.97436,0.99761
analysis,61,QUBOCorrelation,SteepestDescent,21,Tesla V100-PCIE-32GB,0,1.12,0.1108,0.99841,0.9935,0.98337,0.97872,0.98807
analysis,71,QUBOCorrelation,SteepestDescent,31,Tesla V100-PCIE-32GB,0,1.12,0.123,0.9983,0.99344,0.98221,0.97642,0.98807
analysis,91,QUBOCorrelation,TabuSampler,10,Tesla V100-PCIE-32GB,0,1.14,0.1154,0.99795,0.98986,0.97857,0.97625,0.98091
analysis,102,QUBOCorrelation,TabuSampler,21,Tesla V100-PCIE-32GB,0,1.16,0.1169,0.99784,0.9898,0.97741,0.97393,0.98091
