attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
fuzzers,2482,QUBOSVCBoosting,TabuSampler,33,cuda:2,2.59,8.5,0.1036,1645.14,0.98786,0.99081,0.88639,0.79975,0.99407
exploits,1191,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,4.87,16.3,0.1839,2728.69,0.99578,0.98499,0.95648,0.94046,0.97305
exploits,1204,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,4.94,16.61,0.1869,2885.48,0.99602,0.98543,0.95887,0.94447,0.97372
exploits,1217,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,4.94,16.63,0.1868,3042.28,0.99609,0.98602,0.95963,0.94484,0.97489
exploits,1242,QUBOCorrelation,SteepestDescent,13,cuda:2,4.9,16.25,0.1855,2728.69,0.99582,0.98485,0.95686,0.94151,0.97272
exploits,1255,QUBOCorrelation,SteepestDescent,26,cuda:2,4.89,16.58,0.1868,2885.48,0.99604,0.98536,0.95902,0.94492,0.97355
exploits,1268,QUBOCorrelation,SteepestDescent,39,cuda:2,4.87,16.57,0.186,3042.28,0.99604,0.98671,0.95914,0.94248,0.9764
exploits,1293,QUBOCorrelation,TabuSampler,13,cuda:2,4.94,16.89,0.1882,2970.73,0.99583,0.98732,0.95716,0.93727,0.9779
exploits,1306,QUBOCorrelation,TabuSampler,26,cuda:2,4.95,17.2,0.1877,3102.59,0.99638,0.99055,0.96282,0.94245,0.9841
exploits,1319,QUBOCorrelation,TabuSampler,39,cuda:2,5.0,17.17,0.1893,3187.02,0.99656,0.98778,0.96443,0.95116,0.97807
exploits,1344,QUBOMutualInformation,SimulatedAnnealing,13,cuda:2,4.83,15.88,0.1811,2753.73,0.99598,0.98413,0.95829,0.94587,0.97104
exploits,1357,QUBOMutualInformation,SimulatedAnnealing,26,cuda:2,4.92,16.66,0.1875,2910.42,0.99641,0.98563,0.96276,0.95205,0.97372
exploits,1370,QUBOMutualInformation,SimulatedAnnealing,39,cuda:2,4.93,17.07,0.1876,3067.36,0.9968,0.98894,0.96682,0.95375,0.98025
exploits,1395,QUBOMutualInformation,SteepestDescent,13,cuda:2,4.89,15.86,0.183,2753.73,0.99598,0.9839,0.95835,0.94646,0.97054
exploits,1408,QUBOMutualInformation,SteepestDescent,26,cuda:2,4.88,16.57,0.1862,2910.42,0.99641,0.98563,0.96276,0.95205,0.97372
